eq_id,shareClassFIGI,legal_name
EQ0007836,BBG001S7R9W7,HQ GLOBAL EDUCATION INC
EQ0007837,BBG001S7RB07,MONARCH GULF EXPLORATION INC
EQ0007838,BBG001S7RB34,GUARANTY FINANCIAL CORP
EQ0007839,BBG001S7RB61,TUPY SA
EQ0007840,BBG001S7RB70,JABIL INC
EQ0007841,BBG001S7RBD3,HANNOVER HOUSE INC
EQ0007842,BBG001S7RBQ9,HONAT BANCORP INC
EQ0007843,BBG001S7RCB3,TEXTIL RENAUXVIEW SA
EQ0007844,BBG001S7RCS5,RENAUXVIEW SA-PREF
EQ0007845,BBG001S7RCZ7,HUNTER CREEK MINING CO
EQ0007846,BBG001S7RD03,ATLAS YAT ORT
EQ0007848,BBG001S7RDK1,NEKTAR THERAPEUTICS
EQ0007849,BBG001S7RDX7,GREENE CONCEPTS INC
EQ0007850,BBG001S7RF80,RAMBUS INC
EQ0007851,BBG001S7RFZ0,OENEO
EQ0007852,BBG001S7RGD2,BLOK DIGITAL LTD
EQ0007853,BBG001S7RGN1,TECHNOLOGY GENERAL CORP
EQ0007854,BBG001S7RJM6,RELIANCE INDS-SPONS GDR 144A
EQ0007855,BBG001S7RJN5,WINDROCK LTD CO
EQ0007856,BBG001S7RJP3,CLOVERLEAF KENNEL CLUB -CL A
EQ0007857,BBG001S7RJS0,BEAVER COAL LTD
EQ0007858,BBG001S7RLV1,AXM PHARMA INC
EQ0007859,BBG001S7RLY8,TIL LTD
EQ0007860,BBG001S7RMM9,AMES NATIONAL CORP
EQ0007861,BBG001S7RN65,ASHIRWAD CAPITAL LTD
EQ0007862,BBG001S7RN83,WATERFRONT PHILIPPINES INC
EQ0007863,BBG001S7RNB9,0913693 BC LTD
EQ0007864,BBG001S7RNJ1,MERGER MINES CORP
EQ0007865,BBG001S7RNQ3,MBT BANCSHARES INC
EQ0007866,BBG001S7RNS1,UNIPAR CARBOCLORO SA-ORD
EQ0007867,BBG001S7RNX5,ENAGAS SA
EQ0007868,BBG001S7RPW1,BANK UTICA/NY
EQ0007871,BBG001S7RQP7,QUAD M SOLUTIONS INC
EQ0007872,BBG001S7RQS4,VODACOM GROUP LTD
EQ0007873,BBG001S7RQT3,IMEC SERVICES LTD
EQ0007875,BBG001S7RRF6,HAWTHORN RESOURCES LTD
EQ0007876,BBG001S7RRH4,MOUNT CARMEL PUBLIC UTIL CO
EQ0007877,BBG001S7RRL9,MORTGAGE OIL CORP
EQ0007878,BBG001S7RRW7,HAWAIIAN HOSPITALITY GROUP I
EQ0007879,BBG001S7RS64,ZULU TEK INC
EQ0007881,BBG001S7RT53,CHEMUNG FINANCIAL CORP
EQ0007882,BBG001S7RTC5,LAKELAND FINANCIAL CORP
EQ0007885,BBG001S7RV76,TOEI ANIMATION CO LTD
EQ0007886,BBG001S7RVL0,VENMAX DRUGS & PHARMACEUTICA
EQ0007887,BBG001S7RVR4,ARIHANT'S SECURITIES LTD
EQ0007888,BBG001S7RVY6,KARYON INDUSTRIES BHD
EQ0007889,BBG001S7RXG2,SKYE PETROLEUM INC
EQ0007890,BBG001S7RXP2,LAGUNA RESORTS & HOTELS PCL
EQ0007891,BBG001S7RXT8,NBC BANCORP INC
EQ0007892,BBG001S7RYS7,KEYBRIDGE CAPITAL LTD
EQ0007893,BBG001S7RZL1,FERROVIA CENTRO-ATLANTICA SA
EQ0007895,BBG001S7RZX8,NORTH DALLAS BANK & TRUST CO
EQ0007896,BBG001S7S082,YAKUTSK FUEL-ENERGY CO PJSC
EQ0007897,BBG001S7S0L7,VULCABRAS SA
EQ0007898,BBG001S7S0Q2,INTERNATIONAL PRECIOUS MINER
EQ0007899,BBG001S7S0R1,NIKON CORP PLC-UNSPON ADR
EQ0007900,BBG001S7S0W5,SCANSOURCE INC
EQ0007901,BBG001S7S108,COMMERCIAL NATL FINL CORP/PA
EQ0007903,BBG001S7S199,SOMATIC SYSTEMS INC
EQ0007904,BBG001S7S1W3,FARMERS NATL BANC CORP
EQ0007905,BBG001S7S279,EXCHANGE BANK SANTA ROSA CAL
EQ0007906,BBG001S7S2B4,M & T BANK CORP
EQ0007908,BBG001S7S331,LEVINSKI OFER LTD
EQ0007909,BBG001S7S3V0,INFAS HOLDING AG
EQ0007910,BBG001S7S493,BANCO BMG S.A.-PREF
EQ0007911,BBG001S7S4K0,J-OIL MILLS INC
EQ0007912,BBG001S7S572,OJAI OIL CO
EQ0007913,BBG001S7S5D5,PFEIFFER VACUUM TECHNOLOGY
EQ0007914,BBG001S7S6T6,MERCURY NZ LTD
EQ0007915,BBG001S7S9K9,EMAMBA INTERNATIONAL CORP
EQ0007916,BBG001S7S9L8,CONSOLIDATED ECO-SYSTEMS INC
EQ0007917,BBG001S7S9N6,WOODSTOCK HOLDINGS INC
EQ0007918,BBG001S7S9R2,CALVIN B. TAYLOR BANKSHARES
EQ0007919,BBG001S7SBH8,CRYPTO FLOW TECHNOLOGY LTD
EQ0007920,BBG001S7SBP9,ALBEMARLE CORP
EQ0007921,BBG001S7SC13,TVA GROUP INC- B SHARES
EQ0007922,BBG001S7SD66,ALEXANDRIA FLOUR MILLS
EQ0007923,BBG001S7SDB0,GIZA GENERAL CONTRACTING & R
EQ0007924,BBG001S7SGW0,HORIZON BANCORP INC/IN
EQ0007925,BBG001S7SH58,TISCON AG
EQ0007926,BBG001S7SH85,DELTA GROUP NYRT
EQ0007927,BBG001S7SHK1,HUHTAMAKI OYJ
EQ0007928,BBG001S7SJJ9,SUMMIT REAL ESTATE HOLDING
EQ0007929,BBG001S7SL31,AREALINK CO LTD
EQ0007930,BBG001S7SL77,PROSPERITY BANCSHARES INC
EQ0007931,BBG001S7SLS4,KS TERMINALS INC
EQ0007932,BBG001S7SLX8,GMO PAYMENT GATEWAY INC
EQ0007933,BBG001S7SM20,SPORT LISBOA E BENFICA-FUT S
EQ0007934,BBG001S7SM93,GRAINCORP LTD-A
EQ0007935,BBG001S7SN00,VALIRX PLC
EQ0007936,BBG001S7SN82,PONTIAC BANCORP INC
EQ0007937,BBG001S7SN91,NATIONAL BISCUIT INDUSTRIES
EQ0007938,BBG001S7SP14,SWADHA NATURE LTD
EQ0007939,BBG001S7SPZ7,AXT INC
EQ0007940,BBG001S7SQ03,CYPRUS FOREST INDUSTRIES LTD
EQ0007941,BBG001S7SR83,VATE TECHNOLOGY CO LTD
EQ0007942,BBG001S7SRZ3,LYONS BANCORP INC
EQ0007943,BBG001S7SS27,ORBIA ADVANCE CORP SAB DE CV
EQ0007944,BBG001S7STM3,JIA JIE BIOMEDICAL CO LTD
EQ0007945,BBG001S7SWT9,VANGUARD INTERNATIONAL SEMI
EQ0007946,BBG001S7SWZ2,FULLHOME DEVELOPMENT CO LTD
EQ0007947,BBG001S7SXF2,SAIZERIYA CO LTD
EQ0007948,BBG001S7SYD2,HIGHLIGHT COMMUNICATIONS-BR
EQ0007949,BBG001S7SZN8,AFRICAN DAWN CAPITAL LTD
EQ0007950,BBG001S7SZV9,KLIL INDUSTRIES LTD
EQ0007951,BBG001S7SZY6,SCIDEV LTD
EQ0007952,BBG001S7T1R8,SYSMEX CORP
EQ0007953,BBG001S7T205,FORMOSA PROSONIC INDS BHD
EQ0007954,BBG001S7T2P8,CCID CONSULTING COMPANY-H
EQ0007955,BBG001S7T312,NATIONAL BANKSHARES INC/VA
EQ0007956,BBG001S7T321,ONESPAN INC
EQ0007957,BBG001S7T3L0,BEBIDA BEVERAGE CO
EQ0007958,BBG001S7T3N8,PLB ENGINEERING BERHAD
EQ0007959,BBG001S7T3R4,FALCON MACHINE TOOLS CO LTD
EQ0007960,BBG001S7T4S1,TIH LTD
EQ0007961,BBG001S7T4T0,AKATSUKI EAZIMA CO LTD
EQ0007963,BBG001S7T6H8,ZHEJIANG MEDICINE CO LTD-A
EQ0007964,BBG001S7T7G7,BLACKGOLD NATURAL RESOURCES
EQ0007965,BBG001S7T7J4,RELO GROUP INC
EQ0007966,BBG001S7T7S4,KOSE HOLDINGS CORP
EQ0007967,BBG001S7T7V0,ZYNEX INC
EQ0007968,BBG001S7T9J0,ST ELMO SILVER MINES CORP
EQ0007969,BBG001S7T9T9,CTAC NV
EQ0007970,BBG001S7TB69,BLUE COAST HOTELS LTD
EQ0007971,BBG001S7TBY8,MMC NORILSK NICKEL PJSC
EQ0007972,BBG001S7TC76,SUN TV NETWORK LTD
EQ0007973,BBG001S7TCK1,NARA MOLD & DIE CO LTD
EQ0007974,BBG001S7TDQ3,BLUE RIDGE BANKSHARES INC
EQ0007975,BBG001S7TFD2,ICL GROUP LTD
EQ0007976,BBG001S7TG04,COMPUTACENTER PLC
EQ0007977,BBG001S7TG13,CENTURY PROPERTIES GROUP INC
EQ0007978,BBG001S7TG68,UNIVERCELL HOLDINGS INC
EQ0007979,BBG001S7TG86,SOUTHEAST CEMENT CO LTD
EQ0007980,BBG001S7TGD0,BEZEQ THE ISRAELI TELECOM CO
EQ0007981,BBG001S7TGQ6,PROPERTY & BUILDING CORP LTD
EQ0007982,BBG001S7TH39,REACH PLC
EQ0007983,BBG001S7THF6,QUEEN CITY INVESTMENTS INC
EQ0007984,BBG001S7THX6,SUGARMADE INC
EQ0007985,BBG001S7TJP1,YAMAYA CORP
EQ0007986,BBG001S7TL30,ARTISTMSS INTERNATIONAL GROU
EQ0007987,BBG001S7TLT2,BARBARA BUI
EQ0007988,BBG001S7TLW8,M.P. AGRO INDUSTRIES LTD
EQ0007989,BBG001S7TM65,KOVALAM INVESTMENTS & TRADIN
EQ0007990,BBG001S7TMG4,GUIZHOU WIRE ROPE CO LTD-A
EQ0007991,BBG001S7TNS9,INTERPLAY ENTERTAINMENT CORP
EQ0007992,BBG001S7TP04,DISCOUNT INVESTMENT CORP-REG
EQ0007993,BBG001S7TP40,MIVNE REAL ESTATE KD LTD
EQ0007994,BBG001S7TQG5,ELCO LTD
EQ0007995,BBG001S7TQP5,AAP IMPLANTATE
EQ0007996,BBG001S7TRB8,PENN WAREHOUSING & SAFE DEP
EQ0007997,BBG001S7TRF4,SOLVAY BANK SOLVAY N Y
EQ0007998,BBG001S7TRG3,SOUTHERN MICHIGAN BANCORP
EQ0007999,BBG001S7TRK8,SUNSHIELD CHEMICALS LTD
EQ0008000,BBG001S7TRM6,SUMMIT BANCSHARES INC
EQ0008001,BBG001S7TRN5,YVC HOLDINGS INC
EQ0008002,BBG001S7TS71,REGAL ENTERTAINMENT & CONSUL
EQ0008003,BBG001S7TSD4,TRINITY PETE TR CTF BEN INT
EQ0008004,BBG001S7TSF2,DAIKEN CO LTD
EQ0008005,BBG001S7TSM4,SOLAR GOLD LTD
EQ0008006,BBG001S7TT33,CHINA GAS HOLDINGS LTD
EQ0008007,BBG001S7TT42,VONGROUP LTD
EQ0008008,BBG001S7TT97,EBIX LTD
EQ0008009,BBG001S7TTB4,SKP SECURITIES LTD
EQ0008010,BBG001S7TVH3,VESTAS WIND SYSTEMS A/S
EQ0008011,BBG001S7TWW4,SEMTECH CORP
EQ0008012,BBG001S7TXR8,G. WILLI-FOOD INTERNATIONAL
EQ0008013,BBG001S7TXX1,SILVER SCOTT MINES INC
EQ0008014,BBG001S7TY23,SIDNEY RESOURCES CORP
EQ0008015,BBG001S7TY69,BANCO DE BOGOTA
EQ0008017,BBG001S7TZF6,REAL BRANDS INC
EQ0008018,BBG001S7TZR3,SHIN HSIUNG GAS CO LTD
EQ0008019,BBG001S7TZS2,INNOLUX CORP
EQ0008020,BBG001S7V0B4,ACEA SPA
EQ0008021,BBG001S7V0Z8,TIANJIN PHARMACEUTICAL DA -S
EQ0008022,BBG001S7V140,ALROV PROPERTIES AND LODGING
EQ0008023,BBG001S7V1X8,ENSERVCO CORP
EQ0008024,BBG001S7V202,ETERINDO WAHANATAMA TBK PT
EQ0008025,BBG001S7V2G5,ZHEJIANG EXPRESSWAY CO-H
EQ0008026,BBG001S7V2M8,CHINA MEHECO CO LTD -A
EQ0008027,BBG001S7V2Y5,ZHEJIANG GUYUELONGSHAN SHA-A
EQ0008028,BBG001S7V462,SALA CORP
EQ0008029,BBG001S7V4G1,WILLI FOOD INVESTMENTS
EQ0008030,BBG001S7V4W3,UNIVERSAL ROBINA CORP
EQ0008033,BBG001S7V621,CHAMPION BREWERIES PLC
EQ0008034,BBG001S7V6B1,PT INDOFARMA TBK
EQ0008035,BBG001S7V6Q5,GOLDEN GUINEA BREWERIES PLC
EQ0008036,BBG001S7V756,GUINNESS NIGERIA PLC
EQ0008037,BBG001S7V7G4,SHISEIDO LTD-SPONSORED ADR
EQ0008038,BBG001S7V8P2,IHLAS HOLDING
EQ0008039,BBG001S7V9K5,COUNTRY CLUB HOSPITALITY & H
EQ0008040,BBG001S7V9L4,TCPL PACKAGING LTD
EQ0008041,BBG001S7V9M3,GOULD INVESTORS LP
EQ0008042,BBG001S7V9T6,COMMERCIAL NATL FINL CORP/MI
EQ0008043,BBG001S7V9Y0,FNB INC DENNISON OHIO
EQ0008044,BBG001S7V9Z9,FIRST BANKERS TRUSTSHARES
EQ0008045,BBG001S7VB48,AMFIN FINANCIAL CORP
EQ0008046,BBG001S7VB66,SB FINANCIAL GROUP INC
EQ0008047,BBG001S7VBP5,YAMAKI CO LTD/OSAKA
EQ0008048,BBG001S7VBR3,EUROFINS SCIENTIFIC
EQ0008049,BBG001S7VDN3,CHINA BEIDAHUANG INDUSTRY
EQ0008050,BBG001S7VDS8,VERADIGM INC
EQ0008051,BBG001S7VFF7,MOTORCAR PARTS OF AMERICA IN
EQ0008052,BBG001S7VFJ3,SYLA HOLDINGS CO LTD
EQ0008053,BBG001S7VFQ5,CITBA FINANCIAL CORP
EQ0008054,BBG001S7VG01,PENN BANCSHARES INC
EQ0008055,BBG001S7VG38,MDR LTD
EQ0008056,BBG001S7VG92,EAGLE MATERIALS INC
EQ0008058,BBG001S7VGT0,SHOKUBUN CO LTD
EQ0008059,BBG001S7VJJ5,CHUNG-HSIN ELECTRIC & MACHIN
EQ0008060,BBG001S7VKJ2,PURE ENERGY MINERALS LTD
EQ0008061,BBG001S7VKM8,BESTWAY CEMENT LTD
EQ0008062,BBG001S7VLH2,QUARTERHILL INC
EQ0008063,BBG001S7VLR1,INTERCOS SPA
EQ0008064,BBG001S7VM71,SAIC MOTOR CORP LTD-A
EQ0008065,BBG001S7VMM4,TOUCHPOINT GROUP HOLDINGS
EQ0008066,BBG001S7VMQ0,SAMHYUN STEEL CO LTD
EQ0008067,BBG001S7VN88,CHATHAM CORP
EQ0008068,BBG001S7VPJ1,ORICON INC
EQ0008069,BBG001S7VQQ1,ZHUGUANG HOLDINGS GROUP CO
EQ0008070,BBG001S7VRC4,MATIV HOLDINGS INC
EQ0008071,BBG001S7VRK5,KUSAM ELECTRICAL INDUSTRIES
EQ0008072,BBG001S7VRT6,CRESTON RESOURCES LTD
EQ0008073,BBG001S7VS32,CIPUTRA DEVELOPMENT TBK PT
EQ0008074,BBG001S7VS41,LENOX PASIFIK INVESTAMA TBK
EQ0008075,BBG001S7VTL0,LIFECORE BIOMEDICAL INC
EQ0008076,BBG001S7VTV9,SYSCHEM INDIA LTD
EQ0008077,BBG001S7VTW8,XTI AEROSPACE INC
EQ0008078,BBG001S7VV35,HELIX BIOMEDIX INC
EQ0008079,BBG001S7VVB6,BUZZ TECHNOLOGIES INC
EQ0008080,BBG001S7VVD4,ALMADEN MINERALS LTD - B
EQ0008081,BBG001S7VVY1,AKSHARCHEM INDIA LTD
EQ0008082,BBG001S7VW88,CALEDONIAN HOLDINGS PLC
EQ0008083,BBG001S7VX04,CLAL INSURANCE ENTERPR HLDGS
EQ0008084,BBG001S7VX59,FIBI HOLDINGS
EQ0008085,BBG001S7VX86,FIRST INTL BANK ISRAEL
EQ0008086,BBG001S7VXQ6,CENLUB INDUSTRIES LTD
EQ0008087,BBG001S7VXS4,STELLA CHEMIFA CORP
EQ0008088,BBG001S7VY57,KALIND LTD
EQ0008089,BBG001S7VZH1,SOUGOU SHOUKEN CO LTD
EQ0008090,BBG001S7W158,CHENIERE ENERGY INC
EQ0008091,BBG001S7W1M9,DEMISAS DOKUM EMAYE
EQ0008092,BBG001S7W265,IMAM BUTTON INDUSTRIES LTD
EQ0008093,BBG001S7W309,AMERICAN FUSION INC
EQ0008094,BBG001S7W3W4,EASYKNIT INTERNATIONAL HLDG
EQ0008095,BBG001S7W4G0,EDITIONS DU SIGNE
EQ0008096,BBG001S7W4K5,TELOS CORPORATION
EQ0008097,BBG001S7W5T3,CROWN CASTLE INC
EQ0008098,BBG001S7W675,CARILLION PLC
EQ0008099,BBG001S7W7D6,YOWIE GROUP LTD
EQ0008100,BBG001S7W7H2,RAFARMA PHARMACEUTICALS INC
EQ0008101,BBG001S7W7J0,CURATIS HOLDING AG
EQ0008102,BBG001S7W7T9,BIOMIND LABS INC
EQ0008103,BBG001S7W9D2,LOUISIANA CENTRAL OIL&GAS-UT
EQ0008104,BBG001S7WB83,PINEAPPLE RESOURCES BHD
EQ0008105,BBG001S7WC45,TRACK DATA CORP
EQ0008106,BBG001S7WCC6,AS CREATION TAPETEN AG
EQ0008107,BBG001S7WCN4,FRONTIER LITHIUM INC
EQ0008108,BBG001S7WCX3,AGARWAL INDUSTRIAL CORPORATI
EQ0008109,BBG001S7WD16,MARUTO SANGYO CO LTD
EQ0008110,BBG001S7WD61,ALFA ICA (INDIA) LTD
EQ0008111,BBG001S7WDL4,SHRI KESHAV CEMENTS & INFRA
EQ0008112,BBG001S7WDP0,BAUSCH HEALTH COS INC
EQ0008113,BBG001S7WF66,MOSENERGO PJSC
EQ0008114,BBG001S7WFM8,BANK OF MARIN BANCORP/CA
EQ0008115,BBG001S7WFP5,GRAND PHARMACEUTICAL GROUP L
EQ0008116,BBG001S7WFZ4,ABRDN ASIA FOCUS PLC
EQ0008117,BBG001S7WGC7,CODA OCTOPUS GROUP INC
EQ0008118,BBG001S7WHL5,KOTRA INDUSTRIES BHD
EQ0008119,BBG001S7WHW3,AGCO CORP
EQ0008120,BBG001S7WHY1,MEDIPAL HOLDINGS CORP
EQ0008121,BBG001S7WJ04,UCREST BHD
EQ0008122,BBG001S7WJ59,INTERNATIONAL BIOTECHNOLOGY
EQ0008123,BBG001S7WJD0,HILLIARD CORP
EQ0008124,BBG001S7WK56,OIL STATES INTERNATIONAL INC
EQ0008125,BBG001S7WKB9,FIRST ABACUS FINANCIAL HLDGS
EQ0008126,BBG001S7WKG4,SHANG GONG GROUP CO LTD-B
EQ0008128,BBG001S7WKJ1,SHANGHAI BAOSIGHT SOFTWARE-B
EQ0008129,BBG001S7WKK9,SHANGHAI MATERIAL TRADING-B
EQ0008130,BBG001S7WKW6,ICBS LTD
EQ0008131,BBG001S7WKZ3,SUPERCOMNET TECHNOLOGIES BHD
EQ0008132,BBG001S7WLH1,ALPHA SERVICES AND HOLDINGS
EQ0008133,BBG001S7WLW4,BERGER PAINTS NIGERIA PLC
EQ0008134,BBG001S7WM25,CHEMICAL AND ALLIED PRODUCTS
EQ0008135,BBG001S7WM61,MEDICAL PROPERTIES TRUST INC
EQ0008136,BBG001S7WMK5,SOCD INVERS CAMPOS CHILENOS
EQ0008138,BBG001S7WMS7,MAYR-MELNHOF KARTON AG
EQ0008139,BBG001S7WN23,MALVERN INTERNATIONAL PLC
EQ0008140,BBG001S7WNC2,CITIZENS FINANCIAL CORP/W V
EQ0008141,BBG001S7WNF9,SUGI HOLDINGS CO LTD
EQ0008142,BBG001S7WP55,FULL WANG INTERNATIONAL DEVE
EQ0008143,BBG001S7WP91,HAPUGASTENNE PLANTATIONS PLC
EQ0008144,BBG001S7WPY3,SOUTHERN HOME MEDICAL INC
EQ0008145,BBG001S7WQ71,TMM INC
EQ0008146,BBG001S7WQ99,CINTAC S.A.
EQ0008147,BBG001S7WQB6,SOUND FINANCIAL BANCORP INC
EQ0008148,BBG001S7WQG1,VINA CONCHA Y TORO SA
EQ0008149,BBG001S7WQK6,BANCO DE CREDITO E INVERSION
EQ0008150,BBG001S7WQZ0,VITARICH CORPORATION
EQ0008152,BBG001S7WRH8,CRISTALERIAS DE CHILE S.A.
EQ0008153,BBG001S7WRK4,ASIAMEDIC LTD
EQ0008154,BBG001S7WRW1,DHAMPURE SPECIALITY SUGARS
EQ0008155,BBG001S7WSK2,SINOPEC KANTONS HOLDINGS
EQ0008157,BBG001S7WT02,QINGHAI SPRING MEDICINAL -A
EQ0008158,BBG001S7WTP5,ASAHI INTELLIGENCE SERVICE
EQ0008159,BBG001S7WV70,WALMART DE MEXICO SAB DE CV
EQ0008160,BBG001S7WVP0,EMPRESA ELECTRICA MAGALLANES
EQ0008161,BBG001S7WVV3,ENAEX SA
EQ0008162,BBG001S7WVY0,PREMIER PAINTS PLC
EQ0008163,BBG001S7WW05,NEW MAURITIUS HOTELS LTD
EQ0008164,BBG001S7WW78,JOHN HOLT PLC
EQ0008165,BBG001S7WWN0,SOUTHERN MISSOURI BANCORP
EQ0008166,BBG001S7WWP8,KELLER GROUP PLC
EQ0008167,BBG001S7WWZ7,NUVERA COMMUNICATIONS INC
EQ0008168,BBG001S7WXF7,GRENKE AG
EQ0008169,BBG001S7WY01,JOHNSON HEALTH TECH CO LTD
EQ0008170,BBG001S7WYL8,S C O A NIGERIA PLC
EQ0008171,BBG001S7WYN6,A.F.P. HABITAT S.A.
EQ0008172,BBG001S7WYP4,CLUB HIPICO DE SANTIAGO S.A.
EQ0008173,BBG001S7WYZ3,KUEHNE + NAGEL INTL AG-REG
EQ0008174,BBG001S7WZF2,UAC OF NIGERIA PLC
EQ0008175,BBG001S7WZG1,EMPRESAS IANSA SA
EQ0008177,BBG001S7X0X8,FORSTL CONSTR Y COML PAC SUR
EQ0008178,BBG001S7X0Y7,EMPRESA ELECTRICA PEHUENCHE
EQ0008179,BBG001S7X139,A.F.P. PROVIDA S.A.
EQ0008180,BBG001S7X166,SOCD PUNTA DEL COBRE S.A.-A
EQ0008181,BBG001S7X1F6,VINA SAN PEDRO S.A.
EQ0008182,BBG001S7X1Y5,ZONA FRANCA DE IQUIQUE S.A.
EQ0008183,BBG001S7X291,SHELTER INFRA PROJECTS LTD
EQ0008184,BBG001S7X2J0,HOME LOAN FINANCIAL CORP
EQ0008185,BBG001S7X2P3,MUTHOOT CAPITAL SERVICES LTD
EQ0008186,BBG001S7X2X4,HIGHWOODS PROPERTIES INC
EQ0008187,BBG001S7X317,RPM INTERNATIONAL INC
EQ0008188,BBG001S7X488,BLACKROCK WORLD MINING TRUST
EQ0008189,BBG001S7X4Z8,REPUBLIC BANCORP INC-CLASS A
EQ0008190,BBG001S7X549,PARK NATIONAL CORP
EQ0008191,BBG001S7X7C6,MAXNERVA TECHNOLOGY SERVICES
EQ0008192,BBG001S7X7D5,STANDARD FOODS CORP
EQ0008193,BBG001S7X7K7,STURDY INDUSTRIES LTD
EQ0008194,BBG001S7X7L6,VERMILION ENERGY INC
EQ0008195,BBG001S7X807,MORISON INDUSTRIES PLC
EQ0008196,BBG001S7X8C4,APT SATELLITE HOLDINGS LTD
EQ0008198,BBG001S7XB64,ALLOS SA
EQ0008199,BBG001S7XBM6,PENINSULA LAND LTD
EQ0008200,BBG001S7XD33,TIKUM OLAM CA-M
EQ0008201,BBG001S7XDN1,NGAI HING HONG COMPANY LTD
EQ0008202,BBG001S7XDV2,CELESTIAL ASIA SECURITIES
EQ0008203,BBG001S7XDX0,KARRIE INTL HLDGS LTD
EQ0008204,BBG001S7XFF5,CHELLARAMS PLC
EQ0008205,BBG001S7XFR2,LOGAN CLAY PRODUCTS CO
EQ0008207,BBG001S7XH34,SPORTECH PLC
EQ0008208,BBG001S7XH61,PAVLOVO BUS PJSC
EQ0008209,BBG001S7XH89,ETERNAL MATERIALS CO LTD
EQ0008210,BBG001S7XHQ9,ROSELABS FINANCE LTD
EQ0008211,BBG001S7XHV3,MARITIMA DE INVERSIONES S.A.
EQ0008212,BBG001S7XHW2,MINERA VALPARAISO S.A.
EQ0008213,BBG001S7XJ67,SOQUIMICH COMERCIAL S.A.
EQ0008214,BBG001S7XJ76,CIA INDUSTRIAL EL VOLCAN
EQ0008215,BBG001S7XK82,CICOR TECHNOLOGIES-REG
EQ0008217,BBG001S7XL53,BAJAJ HOLDINGS AND INVESTMEN
EQ0008218,BBG001S7XLQ0,MIPOX CORP
EQ0008219,BBG001S7XLS8,G-RESOURCES GROUP LTD
EQ0008220,BBG001S7XLZ0,COMPANIAS CIC S.A.
EQ0008221,BBG001S7XM33,GRUPO EMPRESAS NAVIERAS SA
EQ0008222,BBG001S7XM42,CLUB DE POLO Y EQUITACION
EQ0008223,BBG001S7XM51,INVERSIONES TRICAHUE S.A.
EQ0008224,BBG001S7XMD2,WESTBRIDGE RENEWABLE ENERGY
EQ0008225,BBG001S7XMJ6,PANTERA SILVER CORP
EQ0008226,BBG001S7XMZ8,RCS MEDIAGROUP SPA
EQ0008227,BBG001S7XN59,ARQ INC
EQ0008228,BBG001S7XPD5,FIRAN TECHNOLOGY GROUP CORP
EQ0008229,BBG001S7XPK7,TAKATORI CORP
EQ0008230,BBG001S7XPM5,PRIVATE EQUITY HLDG-REG
EQ0008231,BBG001S7XPW4,MIGDAL INSURANCE & FINANCIAL
EQ0008232,BBG001S7XPX3,FIRST PET LIFE INC
EQ0008233,BBG001S7XQT6,KULMBACHER BRAUEREI AG
EQ0008234,BBG001S7XR78,INTUITIVE SURGICAL INC
EQ0008235,BBG001S7XRK3,RGT BHD
EQ0008236,BBG001S7XRR6,BEZANT RESOURCES PLC
EQ0008237,BBG001S7XRZ7,BAILLIE GIFFORD UK GROWTH TR
EQ0008238,BBG001S7XVC3,SMS ALTERNATIVES INC
EQ0008239,BBG001S7XW68,LAHOTI OVERSEAS LTD
EQ0008241,BBG001S7XWH6,SUN LIFE FINANCIAL INC
EQ0008242,BBG001S7XWP7,UNILEVER NIGERIA PLC
EQ0008243,BBG001S7XWQ6,LB ALUMINIUM BHD
EQ0008244,BBG001S7XXD8,THOMAS WYATT NIGERIA PLC
EQ0008245,BBG001S7XXH4,TRIPPLE GEE AND COMPANY PLC
EQ0008246,BBG001S7XXJ2,EGEPLAST
EQ0008247,BBG001S7XYB8,SAMPO OYJ-A SHS
EQ0008248,BBG001S7XYC7,RAJDARSHAN INDUSTRIES LTD
EQ0008249,BBG001S7XYL7,WESTAMERICA BANCORPORATION
EQ0008250,BBG001S7XYN5,HONG KONG EXCHANGES & CLEAR
EQ0008251,BBG001S7XYQ2,ALTAMIR
EQ0008252,BBG001S7XYY3,OPTION
EQ0008253,BBG001S7XZ89,TIETO OYJ
EQ0008254,BBG001S7XZF1,AV CONCEPT HOLDINGS LTD
EQ0008255,BBG001S7Y0G6,DILMAH CEYLON TEA CO PLC
EQ0008256,BBG001S7Y254,UNION CERV PERU BACK&JOHNS-I
EQ0008257,BBG001S7Y2G2,SIENNA RESOURCES INC
EQ0008258,BBG001S7Y2K7,NIKO RESOURCES LTD
EQ0008259,BBG001S7Y2T8,UMB FINANCIAL CORP
EQ0008260,BBG001S7Y2W4,OKINAWA CELLULAR TELEPHONE
EQ0008261,BBG001S7Y3W2,QUANTUM X LABS INC
EQ0008262,BBG001S7Y4W0,BIOMAXIMA SA
EQ0008263,BBG001S7Y9W9,JZ CAPITAL PARTNERS LTD
EQ0008264,BBG001S7YCL4,MONGOLIA GROWTH GROUP LTD
EQ0008265,BBG001S7YHQ8,ALGORHYTHM HOLDINGS INC
EQ0008266,BBG001S7YHR7,HENGTONG OPTIC-ELECTRIC CO-A
EQ0008267,BBG001S7YHX0,AKAMAI TECHNOLOGIES INC
EQ0008268,BBG001S7YJR3,ROJANA INDUS PARK PUB CO LTD
EQ0008270,BBG001S7YK27,PHARMACY CHAIN 36.6 PJSC
EQ0008271,BBG001S7YL43,KC CO LTD
